,Brand,Year,Model,Car/Suv,UsedOrNew,Transmission,DriveType,FuelType,Kilometres,BodyType,Doors,Seats,Price,extra_word,engine_capacity,engine_power,fuel_consumption_rate,colour_exterior,colour_interior,location_province,location_state
14718,11,2015,82,5,1,0,4,0,165454.0,5,4.0,5.0,32888.0,102,5.0,3.2,9.2,0,3,5,0
14719,5,2023,112,0,2,0,4,0,86009.0,0,4.0,7.0,71000.0,3407,4.0,2.8,7.9,19,377,590,9
14720,8,2009,118,6,1,0,1,1,150001.0,6,4.0,5.0,12999.0,221,4.0,2.4,8.9,2,3,34,0
14721,6,2013,6,0,1,0,0,0,121100.0,0,5.0,5.0,31800.0,3408,4.0,2.2,5.7,0,3,54,0
14722,68,2023,147,3,2,0,2,0,86009.0,3,2.0,3.0,187211.0,3409,6.0,7.7,0.0,24,384,590,9
14723,13,2014,135,3,1,1,2,0,109306.0,3,4.0,3.0,22880.0,3410,4.0,2.5,8.0,0,0,23,0
14724,27,2023,628,0,2,0,0,4,86009.0,0,4.0,5.0,81191.0,2742,4.0,2.4,8.4,21,380,590,9
14725,7,2018,22,0,1,0,1,2,58999.0,0,4.0,5.0,25800.0,25,4.0,2.0,6.9,0,0,52,0
14726,26,2023,701,5,2,1,2,0,86009.0,5,2.0,3.0,138457.0,3411,6.0,7.8,0.0,25,387,590,9
14727,19,2008,67,0,1,0,0,0,163107.0,0,4.0,5.0,16995.0,183,6.0,3.0,10.5,1,3,23,0
14728,40,2023,309,0,2,0,1,1,86009.0,0,4.0,5.0,34990.0,2600,4.0,1.5,8.1,20,377,590,9
14729,16,2018,52,1,1,0,1,2,139723.0,1,5.0,5.0,19490.0,109,4.0,2.0,5.8,0,3,143,0
14730,11,2018,100,3,1,0,1,0,180588.0,3,2.0,3.0,42000.0,3412,4.0,2.0,0.0,0,4,594,0
14731,26,2023,721,5,2,1,2,0,86009.0,5,2.0,3.0,195100.0,3413,6.0,7.8,0.0,25,385,590,9
14732,13,2012,39,1,1,0,1,2,47850.0,1,5.0,5.0,19990.0,277,4.0,1.8,6.9,5,389,31,0
14733,11,2023,82,5,2,0,2,0,86009.0,5,4.0,5.0,47130.0,1691,4.0,2.0,7.3,19,377,590,9
14734,13,2016,39,1,1,0,1,2,72363.0,1,5.0,5.0,19990.0,23,4.0,1.8,7.3,0,3,31,0
14735,23,2023,287,0,2,1,1,1,86009.0,0,4.0,5.0,21490.0,134,4.0,1.2,4.7,19,377,590,9
14736,9,2018,49,0,1,0,0,0,102563.0,0,4.0,5.0,33880.0,667,4.0,2.0,5.9,1,0,6,0
14737,5,2019,10,7,1,0,2,0,68410.0,7,3.0,12.0,71990.0,2134,4.0,2.8,9.5,0,3,10,0
14738,26,2023,722,3,2,0,2,0,86009.0,3,2.0,3.0,103983.0,3414,4.0,5.2,0.0,25,382,590,9
14739,27,2007,179,0,1,0,4,2,86009.0,0,4.0,5.0,7999.0,188,6.0,3.5,11.2,11,3,31,0
14740,13,2023,273,3,2,0,1,0,86009.0,3,5.0,2.0,51240.0,3415,4.0,2.2,7.0,19,377,590,9
14741,2,2008,173,6,1,0,2,2,130360.0,6,4.0,5.0,9995.0,1212,4.0,2.0,8.0,4,390,23,0
14742,0,2023,503,5,2,0,4,0,86009.0,5,4.0,5.0,43090.0,2384,4.0,2.2,8.6,20,377,590,9
14743,5,2017,95,5,1,0,2,2,124497.0,5,4.0,5.0,31999.0,174,6.0,4.0,11.5,0,3,22,0
14744,26,2023,697,9,2,1,0,0,86009.0,9,2.0,3.0,77061.0,3274,4.0,3.0,0.0,24,384,590,9
14745,47,2015,419,2,1,0,0,1,53266.0,2,2.0,4.0,199900.0,3417,8.0,4.0,10.5,11,3,54,0
14746,5,2015,208,3,1,0,2,0,101886.0,3,4.0,2.0,37990.0,11,4.0,3.0,8.0,0,3,10,0
14747,70,2023,723,8,2,1,2,1,86009.0,8,2.0,2.0,97990.0,3418,4.0,1.8,7.8,24,377,590,9
14748,3,2020,297,6,1,0,0,1,61693.0,6,4.0,5.0,56800.0,770,4.0,2.0,6.7,0,3,54,0
